iter	Logloss
0	0.6902302954
1	0.687126819
2	0.6851562748
3	0.6830013887
4	0.6805207448
5	0.6775918848
6	0.6758801448
7	0.673598316
8	0.6714049613
9	0.6700833655
10	0.6682283051
11	0.6665957649
12	0.6648450223
13	0.6630347511
14	0.6611003025
15	0.6595156947
16	0.6577919813
17	0.6562671478
18	0.6548091537
19	0.6535314252
20	0.6518171043
21	0.6503256252
22	0.6490678856
23	0.6477190104
24	0.6466990259
25	0.6457159502
26	0.6445999868
27	0.6430595495
28	0.6418019396
29	0.6402063849
30	0.6387758921
31	0.6373904178
32	0.6363798037
33	0.6353685439
34	0.6346082088
35	0.6336069893
36	0.6322084522
37	0.6313885066
38	0.630502587
39	0.6297623016
40	0.6289881614
41	0.6280550465
42	0.6271779475
43	0.6261951108
44	0.6255154109
45	0.6245701889
46	0.6237279537
47	0.6229234683
48	0.6222541978
49	0.6216347833
50	0.6207375356
51	0.6199761669
52	0.6191029829
53	0.6182971014
54	0.6177763081
55	0.6169245473
56	0.6159951233
57	0.6152167282
58	0.6145378264
59	0.6139083292
60	0.6133806982
61	0.6128704875
62	0.6121400932
63	0.6115214174
64	0.6107737882
65	0.6101402084
66	0.6094889231
67	0.6088643664
68	0.6080538036
69	0.6074695061
70	0.6069197189
71	0.6064481399
72	0.6057960394
73	0.6049670312
74	0.6042980972
75	0.6037035013
76	0.6032354564
77	0.6025416763
78	0.601739075
79	0.6012464014
80	0.6005155873
81	0.5999853143
82	0.599232532
83	0.5987634517
84	0.5980198792
85	0.5975564794
86	0.5970186227
87	0.5962771618
88	0.5956488099
89	0.5949332851
90	0.5945302583
91	0.5939860244
92	0.5934830499
93	0.5928969587
94	0.5923774941
95	0.5917217032
96	0.591074929
97	0.5906510527
98	0.5901686177
99	0.5896592809
100	0.5891138303
101	0.5885951429
102	0.5881487669
103	0.5877734193
104	0.5871047576
105	0.586686216
106	0.586280763
107	0.5858668888
108	0.58528308
109	0.5847159604
110	0.5842747771
111	0.5839121572
112	0.5834104136
113	0.5831053895
114	0.5827018936
115	0.5823291132
116	0.5819196577
117	0.5814596019
118	0.5811606018
119	0.5806860683
120	0.5801646438
121	0.5798767955
122	0.5794862341
123	0.5791059034
124	0.5787701515
125	0.5783574363
126	0.5779744726
127	0.5776347744
128	0.577279584
129	0.576667296
130	0.5761210897
131	0.5757561658
132	0.5753675503
