iter	Passed	Remaining
0	72	72237
1	83	41895
2	94	31525
3	106	26421
4	117	23421
5	128	21285
6	139	19739
7	150	18615
8	160	17703
9	172	17042
10	183	16481
11	195	16113
12	207	15720
13	218	15402
14	230	15125
15	242	14895
16	253	14677
17	265	14481
18	278	14374
19	290	14219
20	301	14062
21	313	13930
22	325	13806
23	336	13691
24	348	13575
25	359	13471
26	371	13396
27	384	13351
28	396	13283
29	408	13205
30	420	13130
31	431	13056
32	443	12990
33	454	12915
34	466	12848
35	478	12805
36	490	12776
37	502	12716
38	514	12665
39	526	12627
40	538	12586
41	550	12552
42	564	12562
43	577	12553
44	590	12521
45	602	12486
46	613	12449
47	626	12423
48	637	12381
49	649	12340
50	661	12303
51	673	12278
52	687	12276
53	698	12244
54	710	12214
55	723	12188
56	735	12161
57	747	12132
58	759	12109
59	770	12077
60	783	12066
61	796	12045
62	808	12020
63	819	11992
64	832	11972
65	843	11943
66	857	11942
67	869	11916
68	881	11891
69	895	11896
70	907	11876
71	919	11854
72	931	11833
73	944	11815
74	956	11791
75	967	11766
76	979	11739
77	991	11721
78	1003	11694
79	1014	11668
80	1026	11645
81	1038	11622
82	1049	11600
83	1061	11578
84	1074	11562
85	1086	11547
86	1100	11552
87	1116	11574
88	1129	11557
89	1140	11535
90	1152	11516
91	1165	11499
92	1177	11478
93	1189	11463
94	1203	11467
95	1216	11453
96	1228	11432
97	1240	11415
98	1254	11416
99	1266	11397
100	1278	11378
101	1290	11362
102	1306	11375
103	1318	11362
104	1331	11347
105	1343	11334
106	1359	11346
107	1377	11378
108	1397	11424
109	1411	11418
110	1424	11411
111	1437	11398
112	1451	11394
113	1464	11382
114	1477	11371
115	1490	11359
116	1502	11338
117	1515	11326
118	1527	11308
119	1540	11293
120	1552	11278
121	1565	11263
122	1577	11244
123	1589	11228
124	1602	11218
125	1614	11199
126	1626	11179
127	1639	11169
128	1653	11167
129	1666	11150
130	1679	11138
131	1691	11122
132	1703	11107
133	1715	11087
134	1727	11070
135	1740	11054
136	1751	11035
137	1763	11016
138	1775	10996
139	1787	10979
140	1799	10964
141	1811	10946
142	1823	10926
143	1835	10908
144	1846	10887
145	1858	10870
146	1870	10852
147	1881	10833
148	1893	10815
149	1906	10804
