iter	Passed	Remaining
0	6	6625
1	14	7037
2	21	7133
3	28	7210
4	36	7351
5	44	7365
6	52	7383
7	59	7373
8	66	7362
9	74	7344
10	81	7367
11	89	7392
12	97	7380
13	104	7370
14	112	7358
15	119	7345
16	126	7338
17	134	7330
18	142	7333
19	149	7324
20	156	7314
21	164	7327
22	172	7328
23	180	7336
24	188	7368
25	196	7372
26	204	7380
27	212	7382
28	220	7391
29	228	7387
30	236	7383
31	244	7393
32	252	7394
33	260	7396
34	268	7391
35	275	7383
36	283	7384
37	291	7373
38	299	7368
39	306	7365
40	314	7362
41	322	7356
42	330	7350
43	338	7347
44	346	7343
45	353	7337
46	361	7330
47	369	7324
48	376	7312
49	384	7305
50	392	7308
51	400	7306
52	408	7303
53	416	7302
54	424	7298
55	432	7296
56	440	7289
57	448	7283
58	456	7277
59	464	7273
60	472	7266
61	480	7262
62	487	7255
63	495	7253
64	503	7246
65	511	7242
66	520	7244
67	528	7237
68	536	7233
69	544	7227
70	551	7221
71	559	7216
72	567	7209
73	575	7204
74	583	7200
75	592	7204
76	600	7197
77	608	7188
78	615	7181
79	623	7175
80	631	7167
81	639	7159
82	647	7150
83	655	7143
84	662	7134
85	670	7127
86	678	7119
87	686	7112
88	694	7104
89	701	7097
90	709	7090
91	717	7081
92	725	7075
93	733	7066
94	741	7059
95	748	7052
96	756	7044
97	764	7037
98	772	7032
99	780	7027
100	789	7027
101	798	7029
102	806	7023
103	814	7014
104	822	7008
105	830	7000
106	837	6992
107	845	6984
108	853	6976
109	861	6967
110	869	6962
111	877	6954
112	885	6948
113	893	6942
114	901	6934
115	909	6927
116	916	6919
117	924	6912
118	932	6905
119	940	6896
120	948	6889
121	956	6882
122	964	6875
123	972	6869
124	980	6865
125	988	6858
126	996	6851
127	1004	6845
128	1013	6840
129	1021	6834
130	1029	6827
131	1037	6819
132	1045	6813
133	1053	6806
134	1061	6799
135	1069	6792
136	1077	6785
137	1084	6777
138	1092	6769
139	1100	6761
140	1108	6753
141	1116	6747
142	1124	6739
143	1132	6732
144	1140	6725
145	1148	6717
