id,keyword,text
0,dogecoin%20shib%20shibarmy%20africa%20starving%20starvedtodeath%20nestle%20niger,fair economy work hard  yeah suredogecoin shib shibarmy africa starving starvedtodeath nestle niger
1,hungry%20starving%20ethiopian%20african%20mcdonaldsmonopoly%20food%20melbourneprotest%20africa,Gaming rn and I have to say that gaming really makes you hungry Hungry starving Ethiopian African McDonaldsMonopoly Food Melbourneprotest Africa
2,people%20silly%20stupid%20feelings%20hurt%20coronavirus%20starving%20children%20africa%20worsening,sherylunderwood You don’t think you people on the TheTalkCBS are a little bit silly or stupid I mean really you have your feelings hurt There is the whole coronavirus thing amp starving children in Africa thing is still happening and worsening
3,conspiracytheories%20exposed%20starving%20children%20in%20africa%20bitch%20fyp%20foryoupage%20scandel,Loserfruit Forgot the hashtags conspiracytheories exposed starving children in Africa bitch fyp foryoupage scandel
4,lennyhenry%20rednoseday%20clone%20liveaid%20starving%20africa,Remember when LennyHenry and Co set up RedNoseDay as a Faux Clone of LiveAid He NOW says they dont want the Help from White Folk    Maybe remember WHO were the ones performing and donating to the Starving Millions in Africa via LiveAid EH
5,europe%20africa%20europeans%20africans%20starving%20dancing%20myjijitv,Europeans Africans are starving  europe africa europeans africans starving dancing myjijitvcom
6,gold%20diamond%20starving%20sahelnow%20africa%20cdnpoli,74 million has gold diamond mines but they are starving  SahelNow  Africa   Men in suits stealing  vonderleyen AOC MinPres BernieSanders jeremycorbyn JustinTrudeau GretaThunberg mehdirhasan cathmckenna WFPMENA katenoconnor1 cdnpoli theJagmeetSingh
7,underpaid%20starving%20money%20attention%20dramaqueen%20outburst%20osaka%20rolemodel%20africa,serenawilliams says shes been underpaid underpaid how many millions do U hav when people R starving    after more money attention dramaQueen after the outburst against osaka still seeking more limelight no longer a roleModel sharethis Africa
8,america%20africa%20starving%20richpeople%20food%20help%20billionaires%20next2021%20virus,Minivans at the Food Pantry Meet Americas New Needy   via YahooNews AmericaAFRICA Starving RichPeople Food HELP Billionaires Next2021 Virus
9,black%20blackpeople%20starving%20africa%20dictators%20alm,kimKBaltimore black lives dont matter only your black lives matter 221 million BlackPeople starving in Africa today since 1955 60mil have died at the hands of the worlds top 10 dictators all black so only your fat well heeled Blacks winging black lives matter ALM
10,shortstory%20creativewriting%20amwriting%20writersonwriting%20writingcommunity%20poems%20poetry%20love%20writers%20heartbreak%20starving%20children%20africa%20charity%20drought%20savethechildren%20brokenheart%20sadpoems%20medium,I just published UNTIL THE RAIN COMES shortstory creativewriting amwriting writersonwriting writingcommunity poems poetry love Writers heartbreak starving children Africa Charity drought SaveTheChildren brokenheart sadpoems medium
11,colonial%20powers%20advanced%20wealthy%20africa%20poor%20starving%20oppressors%20oppression%20apartheid%20black%20hispanic%20nativeamerican,Colonial Powers be like Look how Advanced and Wealthy we are Why cant you be more like us Africa Why are you so uncivilized Why are you so poor Why are you starving oppressors Oppression Apartheid Black Hispanic NativeAmerican
12,theresmoretolifethanshopping%20tmtlts%20cotton%20china%20starving%20africa%20politics%20climateawareness,LBC TheresMoreToLifeThanShopping TMTLTS Buying Cotton from China led to many Starving in Africa due to dispotic politics Noone said or did anything back then 25 years ago ClimateAwareness
13,cotton%20china%20political%20africa%20starving,LBC Hi Maajid The Cotton China thing started 25 years ago Due to political troubles in Africa there was an embargo from us buying cotton from there This led to communities starving The world stood by in obliviousness We worldwide started buying cotton from China
14,institutional_corruption%20africa%20starving%20dying,foreignoffice InstitutionalCorruption in Africa constitutes one of the gravest human rights violations diverting public funds to private use amp leaving million Starving to death or  Dying because of lack affordable medical care
15,new_apartheid%20police_brutality%20africa%20rich5%20poor95%20foreign_ngos%20mass_migrating%20starving,afropolitan mimmitwit Sadly  newapartheid complete with  policebrutality has sprung up all over  Africa where the  rich5 amp the  poor95 live separate lives the later depending on foreignNGOs   massmigrating or  starving
16,children%20malnutrition%20famine%20stopstarvingtigray,UNICEF estimated in July that more than 100000 Children could suffer from malnutrition in the coming year There is a real threat of the 1980s FAMINE which killed roughly one million people vickyford AngelaRayner tariqahmadbt StopStarvingTigray
17,hunger%20famine%20stopstarvingtigray%20tigraycantwait%20tigraygenocide,Why is it that we need to see children dying of Hunger before we believe that it is happening UN said that 400000 people were in faminelike conditions vickyford tariqahmadbt UNRICUKIRE USUN StopStarvingTigray TigrayCantWait TigrayGenocide
18,famine%20tigray%20yemen,The world is approaching a dangerous tipping point Famine is looming in Tigray and in Yemen Hunger rates are skyrocketing in Afghanistan   To escape suffering and starvation on a Biblical scale aggressive and bold action must be taken   The US must lead Now
19,cop26%20lifeweb%20fukushima%20chernobyl,Nuclear is NEVER green CP26 COP26 UN EUCommission decommission 465 before next meltdownNO new ones 3 lifeweb threat accidents in 60yrs vs industry lie 1million yrs 1000s leaks Fukushima 11311 Chernobyl 19863 mile island Nuclear waste has zero solution Elite STOP
20,quakes%20fukushima%20japan%20chernobyl%20脱原発,Sadly quakes keep damaging the three RCVs Two have already lost inner pressure  Leaking radioactive gas dust Not to mention tonshr of highly radioactive cooling water Fukushima Daiichi situation could be worsen Japan MUST ask intl help as Chernobyl did
21,chernobyl,This girl on TikTok can take you inside the abandoned Chernobyl nuclear plant
